image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0105x2,0.215,0.525,0.215,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.475,0.403,,,,,,,,,,,,,,,,
0106x2,0.197,0.515,0.212,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.497,0.378,,,,,,,,,,,,,,,,
0107x2,0.197,0.505,0.22,0.736842105263158,0.736842105263158,0.736842105263158,0.368,1.429,0.359,,,,,,,,,,,,,,,,
0108x2,0.232,0.54,0.263,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.521,0.397,,,,,,,,,,,,,,,,
0109x2,0.237,0.529,0.258,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.484,0.391,,,,,,,,,,,,,,,,
0110x2,0.245,0.55,0.297,0.736842105263158,0.736842105263158,0.736842105263158,0.398,1.5,0.408,,,,,,,,,,,,,,,,
0111x2,0.184,0.512,0.206,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.478,0.373,,,,,,,,,,,,,,,,
0112x2,0.197,0.485,0.218,0.736842105263158,0.736842105263158,0.736842105263158,0.388,1.359,0.39,,,,,,,,,,,,,,,,
0113x2,0.226,0.528,0.255,0.736842105263158,0.736842105263158,0.736842105263158,0.38,1.543,0.367,,,,,,,,,,,,,,,,
0114x2,0.211,0.491,0.278,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.329,0.384,,,,,,,,,,,,,,,,
0115x2,0.204,0.541,0.226,0.736842105263158,0.736842105263158,0.736842105263158,0.406,1.627,0.4,,,,,,,,,,,,,,,,
0116x2,0.217,0.516,0.252,0.736842105263158,0.736842105263158,0.736842105263158,0.393,1.468,0.386,,,,,,,,,,,,,,,,
0117x2,0.217,0.511,0.219,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.542,0.359,,,,,,,,,,,,,,,,
0118x2,0.202,0.542,0.235,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.515,0.389,,,,,,,,,,,,,,,,
0119x2,0.186,0.48,0.213,0.736842105263158,0.736842105263158,0.736842105263158,0.368,1.362,0.376,,,,,,,,,,,,,,,,
0120x2,0.205,0.529,0.226,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.506,0.417,,,,,,,,,,,,,,,,
0121x2,0.209,0.542,0.264,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.488,0.402,,,,,,,,,,,,,,,,
0122x2,0.245,0.517,0.289,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.386,0.432,,,,,,,,,,,,,,,,
0123x2,0.188,0.554,0.253,0.736842105263158,0.736842105263158,0.736842105263158,0.401,1.597,0.402,,,,,,,,,,,,,,,,
0124x2,0.206,0.488,0.226,0.736842105263158,0.736842105263158,0.736842105263158,0.387,1.367,0.4,,,,,,,,,,,,,,,,
0125x2,0.212,0.515,0.246,0.736842105263158,0.736842105263158,0.736842105263158,0.385,1.488,0.377,,,,,,,,,,,,,,,,
0126x2,0.219,0.553,0.215,0.736842105263158,0.736842105263158,0.736842105263158,0.416,1.552,0.388,,,,,,,,,,,,,,,,
0127x2,0.225,0.537,0.269,0.736842105263158,0.736842105263158,0.736842105263158,0.399,1.505,0.401,,,,,,,,,,,,,,,,
0128x2,0.186,0.514,0.195,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.473,0.383,,,,,,,,,,,,,,,,
0129x2,0.203,0.536,0.22,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.494,0.443,,,,,,,,,,,,,,,,
0130x2,0.241,0.505,0.27,0.736842105263158,0.736842105263158,0.736842105263158,0.391,1.477,0.391,,,,,,,,,,,,,,,,
0131x2,0.195,0.523,0.242,0.736842105263158,0.736842105263158,0.736842105263158,0.396,1.509,0.39,,,,,,,,,,,,,,,,
0132x2,0.196,0.523,0.25,0.736842105263158,0.736842105263158,0.736842105263158,0.374,1.506,0.423,,,,,,,,,,,,,,,,
0133x2,0.211,0.527,0.257,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.508,0.397,,,,,,,,,,,,,,,,
0134x2,0.204,0.531,0.224,0.736842105263158,0.736842105263158,0.736842105263158,0.401,1.533,0.377,,,,,,,,,,,,,,,,
0135x2,0.206,0.529,0.231,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.489,0.419,,,,,,,,,,,,,,,,
0136x2,0.206,0.536,0.228,0.736842105263158,0.736842105263158,0.736842105263158,0.407,1.483,0.397,,,,,,,,,,,,,,,,
0137x2,0.208,0.537,0.229,0.736842105263158,0.736842105263158,0.736842105263158,0.402,1.451,0.422,,,,,,,,,,,,,,,,
0138x2,0.211,0.536,0.237,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.467,0.39,,,,,,,,,,,,,,,,
0139x2,0.214,0.517,0.251,0.736842105263158,0.736842105263158,0.736842105263158,0.385,1.454,0.359,,,,,,,,,,,,,,,,
0140x2,0.192,0.516,0.21,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.502,0.403,,,,,,,,,,,,,,,,
0141x2,0.202,0.534,0.219,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.498,0.397,,,,,,,,,,,,,,,,
0142x2,0.215,0.505,0.226,0.736842105263158,0.736842105263158,0.736842105263158,0.399,1.478,0.358,,,,,,,,,,,,,,,,
