image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0157x4,0.138,0.37,0.155,0.736842105263158,0.736842105263158,0.736842105263158,0.316,1.255,0.235,,,,,,,,,,,,,,,
0158x4,0.086,0.255,,0.736842105263158,0.736842105263158,0.736842105263158,0.258,0.811,0.18,,,,,,,,,,,,,,,
0159x4,0.082,0.335,0.084,0.736842105263158,0.736842105263158,0.736842105263158,0.298,1.132,0.194,,,,,,,,,,,,,,,
0160x4,0.125,0.369,,0.736842105263158,0.736842105263158,0.736842105263158,0.311,1.065,0.146,,,,,,,,,,,,,,,
0161x4,,0.267,0.142,0.736842105263158,0.736842105263158,0.736842105263158,0.233,0.893,0.174,,,,,,,,,,,,,,,
0162x4,0.134,0.346,0.082,0.736842105263158,0.736842105263158,0.736842105263158,0.272,1.162,0.234,,,,,,,,,,,,,,,
0163x4,0.112,0.248,0.098,0.736842105263158,0.736842105263158,0.736842105263158,0.275,0.863,0.189,,,,,,,,,,,,,,,
0164x4,0.149,0.386,0.125,0.736842105263158,0.736842105263158,0.736842105263158,0.312,1.304,0.243,,,,,,,,,,,,,,,
0165x4,0.192,0.391,0.187,0.736842105263158,0.736842105263158,0.736842105263158,0.321,1.273,0.273,,,,,,,,,,,,,,,
0166x4,0.195,0.353,0.242,0.736842105263158,0.736842105263158,0.736842105263158,0.29,1.033,0.191,,,,,,,,,,,,,,,
0167x4,0.152,0.301,0.136,0.736842105263158,0.736842105263158,0.736842105263158,0.308,0.992,0.218,,,,,,,,,,,,,,,
0168x4,0.12,0.363,0.084,0.736842105263158,0.736842105263158,0.736842105263158,0.322,1.254,0.254,,,,,,,,,,,,,,,
0169x4,0.167,0.336,0.076,0.736842105263158,0.736842105263158,0.736842105263158,0.317,1.07,0.186,,,,,,,,,,,,,,,
0170x4,,0.243,,0.736842105263158,0.736842105263158,0.736842105263158,0.241,0.815,0.149,,,,,,,,,,,,,,,
0171x4,0.239,0.391,0.267,0.353157379014191,0.736842105263158,0.736842105263158,0.299,1.078,0.226,,,,,,,,,,,,,,,
0172x4,0.066,0.358,0.289,0.736842105263158,0.736842105263158,0.736842105263158,0.261,1.091,0.25,,,,,,,,,,,,,,,
0173x4,0.123,0.297,,0.736842105263158,0.736842105263158,0.736842105263158,0.29,1.07,0.243,,,,,,,,,,,,,,,
0174x4,,0.284,,0.736842105263158,0.736842105263158,0.736842105263158,0.316,1.075,0.147,,,,,,,,,,,,,,,
0175x4,0.078,0.33,,0.736842105263158,0.736842105263158,0.736842105263158,0.319,1.373,0.197,,,,,,,,,,,,,,,
0176x4,0.148,0.347,0.11,0.736842105263158,0.736842105263158,0.736842105263158,0.331,1.134,0.246,,,,,,,,,,,,,,,
0177x4,0.191,0.371,0.135,0.736842105263158,0.736842105263158,0.736842105263158,0.312,1.201,0.229,,,,,,,,,,,,,,,
0178x4,0.154,0.388,0.201,0.272744258964652,0.736842105263158,0.736842105263158,0.287,1.147,0.213,,,,,,,,,,,,,,,
0179x4,0.133,0.371,0.057,0.736842105263158,0.736842105263158,0.736842105263158,0.323,1.156,0.218,,,,,,,,,,,,,,,
0180x4,0.148,0.375,0.152,0.736842105263158,0.736842105263158,0.736842105263158,0.294,1.152,0.204,,,,,,,,,,,,,,,
0181x4,0.208,0.429,0.242,0.736842105263158,0.736842105263158,0.736842105263158,0.301,1.281,0.294,,,,,,,,,,,,,,,
0182x4,0.096,0.275,,0.736842105263158,0.736842105263158,0.736842105263158,0.3,1.069,0.304,,,,,,,,,,,,,,,
0183x4,0.113,0.34,0.103,0.736842105263158,0.736842105263158,0.736842105263158,0.315,1.105,0.217,,,,,,,,,,,,,,,
0184x4,0.15,0.332,0.054,0.736842105263158,0.736842105263158,0.736842105263158,0.305,1.057,0.24,,,,,,,,,,,,,,,
0185x4,0.122,0.339,0.099,0.736842105263158,0.736842105263158,0.736842105263158,0.32,1.149,0.208,,,,,,,,,,,,,,,
0186x4,0.132,0.323,0.109,0.736842105263158,0.736842105263158,0.736842105263158,0.31,1.095,0.234,,,,,,,,,,,,,,,
0187x4,0.261,0.434,0.205,0.736842105263158,0.736842105263158,0.736842105263158,0.308,1.371,0.208,,,,,,,,,,,,,,,
0188x4,0.148,0.393,0.084,0.736842105263158,0.736842105263158,0.736842105263158,0.354,1.383,0.304,,,,,,,,,,,,,,,
0189x4,,0.135,0.058,0.359916641823692,0.736842105263158,0.736842105263158,0.234,0.731,0.157,,,,,,,,,,,,,,,
0190x4,,0.291,,0.736842105263158,0.736842105263158,0.736842105263158,0.354,1.255,0.251,,,,,,,,,,,,,,,
